Recipe Name,Category,Ingredients,Method,Yield/Notes
"Fresh Pasta Dough","Breads & Doughs","2 cup All Purpose Flour
1/2 tsp Salt
3 large Egg","1. Blend all in robo coop till it forms together in a ball.
2. Wrap that ball of dough in plastic wrap and let it rest for 30 min.
3. Assemble machine while you wait.
4. Divide ball in 2, wrap other half while you work with one.
5. Flatten first ball with hands till it can fit through the 1 setting on the machine.
6. With machine running, run pasta through machine, adding flour if it sticks.
7. Fold dough in 3 like a letter
8. Run through machine again and repeat one more time.
9. Run dough through the machine on each setting stopping at setting 6.
10. Around setting 3 you will have to cut pasta in half
11. 1 portion of pasta is 1 half of your sheet, each pasta dough ball makes 4 portions
12. After setting 6, heavily flour sheet and roll into a neat roll.
13. Cut pasta into thick ribbons
14. Gently stack and bundle the pasta on a sheet tray with parchment paper
15. Bag in pint bag and freeze until ready to use","N/A"
"Fried Green Tomato","Prep & Pantry","6 cup Buttermilk
Flour
Egg
Panko bread crumbs
1/4 Green Tomatoes, sliced 6 in","1. Set up breading station
2. Slice tomatoes on slicer, do not season
3. Dredge in flour, egg, then panko
4. Layer in shallow fish tub with deli paper
5. Date and store in walk in","N/A"
"Corn Pesto","Sauces & Condiments","1 bag Frozen Corn cooked down with butter till tender
2 cup Grated Parmesan cheese
2 cup Basil, leaves fresh
1 cup Nuts nuts, toasted
4 Garlic, cloves
1 cup Olive Oil About
to taste Salt And Pepper","1. In a food processor, combine corn, Parmesan, basil, walnuts, and garlic. Pulse until coarsely blended.
2. With the machine running, gradually add olive oil until the pesto reaches your desired consistency.
3. Season with salt and pepper
4. May need more oil for smooth consistency","N/A"
"Mezcal Ranch","Sauces & Condiments","1 qt Buttermilk
1 qt Mayo
1/2 cup Mezcal","1. Add mezcal to saute pan and reduce. It will catch fire. burn off by half.
2. Prepare the ranch dressing according to the packet's instructions, substituting part of the liquid component with mezcal.
3. Mix thoroughly until smooth. Let it chill for an hour before serving to allow the flavors to meld.","N/A"
"Pickled Lemon Aioli","Sauces & Condiments","2 qt Mayo
1 cup Pickled Lemon pickled finely chopped
4 Garlic, cloves minced
2 tbsp Dijon Mustard
to taste Salt And Pepper","1. In a mixing bowl, combine mayonnaise, pickled lemons, garlic, and Dijon mustard.
2. Whisk until smooth and evenly mixed. Season with salt and pepper to taste.","N/A"
"Pickled Lemon","Prep & Pantry","24 Lemon
1 cup Salt And Pepper
1 cup Sugar","1. Cut lemons in half length wise
2. Remove top and bottom of lemon and discard
3. Slice lemons from left to right as thinly as possible to create ribbons
4. Toss ribbons in salt sugar mix
5. Let sit at room temperature for 2 hours then store in cambro","N/A"
"Couscous","Appetizers & Sides","3 tbsp Olive Oil
6 tbsp Shallot thinly sliced
3 pinch Chili Flakes
19.2 ounce Couscous Pearled, Israeli
2 qt Vegetable Stock","1. Heat olive oil in a skillet over medium-high until shimmering. Cook shallots, chili flakes, and a pinch of salt until softened, about 2 minutes. Add couscous and broth, season with salt and pepper, and simmer until most liquid is absorbed, about 12 minutes.","N/A"
"Mojo","Sauces & Condiments","2.5 cup Clove of peeled minced
2 2/3 cup Orange Juice fresh
2 2/3 cup Lime, juice
2 2/3 cup Olive Oil
4 tsp Dried Oregano
4 tsp Cumin Seed
to taste Ground Black Pepper Kosher salt and freshly","1. Blend all together. oil last","N/A"
"Hot Sauce","Sauces & Condiments","10 pound Fresno Peppers
40 Garlic, cloves
2/3 cup Light Brown Sugar 1 and
7/16 cup Kosher Salt just under 1/2 cup
1/3 cup Distilled White Vinegar 3 and","1. Take a 10 lb case of Fresno peppers and cut the tops off.
2. Rinse the peppers in a mixture of water and vinegar to clean them.
3. Run the peppers through a meat grinder, then grind garlic and add it to the peppers.
4. Mix in salt and sugar, and place the mixture in a sealed container to ferment for 5 days at room temperature.
5. After 5 days, add vinegar to the mixture and strain off the liquid into a separate container.
6. Bring the liquid to a boil, then add a mixture of garlic oil and xanthan gum to thicken.
7. Date the container and store it in the reach-in cooler.","N/A"
"Pork Cure","Prep & Pantry","1 tbsp Fennel Seed
2 tsp Annatto Seed
1 1/2 tsp Black Peppercorns
1 1/2 tsp Spanish Paprika
1 1/2 tsp Red Pepper Flakes
1/2 cup Light Brown Sugar firmly packed
1/2 cup Salt
1 pound Pork Shoulder","1. Mix spice blend with sugar and salt, rub onto pork, refrigerate for 24/48 hours.
2. Rinse pork, pat dry, preheat oven to 300F, cover pork in lard, and cook for 2.5 hours until tender.
3. Strain from lard and let cool. place in 1/3 pan for service","N/A"
"Vegetable Stock","Prep & Pantry","6 lb Onion
3 lb Celery
3 lb Carrots
32 Garlic, cloves
1 cup Black Peppercorns
24 Bay Leaf Dried
6 bunch Parsley","1. Finely chop all ingredients (use a mandolin if needed)
2. Cover all ingredients in a large pot with 8 gallons of water
3. Bring to a simmer/reduce and allow to cook for 2 hours approx 6 gallons or 24 quarts
4. Strain vegetable matter out of stock
5. Date and store in walk in cooler","N/A"
"Tikka","Mains & Entrees","For the Chicken Tikka
13.2 pc Chicken Breast 6 kg
1 qt Yogurt plain
12 tbsp Lemon, juice
4 tbsp Ground Cumin
4 tbsp Ground Coriander
2 tbsp Turmeric Powder ground
2 tbsp Garam Masala
4 tbsp Paprika
2 tbsp Salt
2 tbsp Ground Black Pepper
12 Garlic, cloves minced
6 tbsp Ginger grated
For the Sauce
600 mL Vegetable Oil
24 large Onion, finely chopped
48 Garlic, cloves minced
12 tbsp Ginger grated
4 tbsp Cumin Seed
4 tbsp Turmeric Powder ground
4 tbsp Paprika
4 tbsp Garam Masala
3 liter Tomato Puree
3 liter Heavy Cream
to taste Salt
6 bunch Cilantro, chopped for garnish","Marinate the chicken
1. In a large bowl, combine yogurt, lemon juice, cumin, coriander, turmeric, garam masala, paprika, salt, pepper, garlic, and ginger. Add chicken pieces and mix until well coated. Cover and refrigerate for at least 4 hours, preferably overnight.
Cook the chicken
2. Preheat your grill to medium-high heat. Thread the chicken onto skewers, discarding the marinade. Grill the chicken for about 5 minutes on each side or until fully cooked. You can also bake the chicken in an oven preheated to 400°F (200°C) for about 20-25 minutes, turning halfway through.
Prepare the sauce
3. In a large pot, heat oil over medium heat. Add onions, garlic, and ginger; cook until onions are golden brown. Stir in cumin seeds, turmeric, paprika, and garam masala, cooking for about 1 minute.
4. Pour in tomato puree, bring to a boil, then reduce heat and simmer for about 20 minutes. Add cream and simmer for another 10 minutes. Taste and adjust seasoning with salt.
Combine and serve
5. Add the cooked chicken to the sauce, stirring well to combine. Heat through. Garnish with chopped cilantro.
6. Serve hot with basmati rice or naan bread.","N/A"
"Bread And Butter Pudding","Desserts","20 slice White Bread brunch brioche
1 cup Butter softened
1 cup Dried Apricots
8 large Egg
4 cup Milk whole
2 cup Heavy Cream
1 1/2 cup Sugar
2 tsp Vanilla Extract
1 tsp Ground Cinnamon
2 tsp Whole Nutmeg
1/4 cup Brandy
2 Orange Zest from
1 serving Crème Anglaise","1. Preheat oven to 350°F (175°C).
2. Butter each slice of bread and cut into triangles or squares.
3. Arrange a layer of bread in a buttered 12x20 inch hotel pan, sprinkle with some apricots, and repeat until all bread is used.
4. Whisk eggs, milk, cream, sugar, vanilla, cinnamon, nutmeg, brandy, and orange zest together. Pour over the bread layers.
5. Let sit for 10 minutes to absorb, then bake for 45-55 minutes until golden and set.
6. Cool slightly before serving.","N/A"
"Crème Anglaise","Desserts","2 cup Milk whole
1 cup Heavy Cream
6 Egg, yolks
2/3 cup Sugar
1 Vanilla Extract split and seeds scraped
1 tsp Orange zest
1 tbsp Brandy","1. Combine milk, cream, vanilla bean (pod and seeds), and orange zest in a saucepan. Simmer over medium heat then remove from heat.
2. Whisk yolks and sugar until fluffy. Gradually pour hot milk mixture into yolks, whisking constantly.
3. Return to saucepan, cook over low heat, stirring until thick enough to coat a spoon.
4. Strain, remove vanilla pod, cool in an ice bath, and stir in brandy.","N/A"
"Hipster Mk. 3","Prep & Pantry","1 Zucchini grated
1 Carrots, peeled carrot, and grated
1 bag Fresh Edamame frozen
1 cup Sundried Tomatoes sun dried tomato
1 cup Garlic, cloves
1 handful Herb Mix
Panko breadcrumbs","1. Move to mixing bowl, add enough panko bread crumbs till a 'dough' forms
2. Form patties, 2 heaping blue scoops per patty
3. Blend frozen edamame in robo coop until crumbly. add sundried tomatoes and garlic and puree.
4. Combine edamame mix with zucchini and carrot with herbs and mix well. season with salt and pepper.
5. Add breadcrumbs to mixture 1 qt at a time until a 'dough' forms. approx 2 qts
6. Scoop with large scoop and patty with squares of parchment.
7. Store parchmented patties in shallow fish tub and freeze","N/A"
"Focaccia mk 2 'old'","Breads & Doughs","500 g All Purpose Flour about 4 cups
350 mL Warm Water about 1.5 cups, ideally around 110°F or 45°C
10 g Instant Yeast about 2 teaspoons
10 g Sugar about 2 teaspoons
10 g Salt about 2 teaspoons
60 mL Olive Oil plus extra for drizzling, about 1/4 cup
Salt Coarse, for topping
Rosemary Fresh thinly sliced garlic, etc","Mix the dough
1. In the bowl of your stand mixer, combine the warm water, sugar, and yeast. Let it sit for about 5 minutes until it becomes frothy, indicating that the yeast is active.
2. Add the flour, salt, and 30ml of the olive oil to the yeast mixture. Using the dough hook attachment, mix at a low speed until the ingredients are well combined, then increase the speed to medium and knead for about 5-7 minutes until the dough is smooth and elastic.
First rise
3. Grease the mixing bowl lightly with olive oil and place the dough back in it. Cover the bowl with plastic wrap or a damp towel and let it rise in a warm place until doubled in size, about 1 hour.
Prepare the tray
4. Drizzle the remaining 30ml of olive oil over the half sheet tray. Place the dough on the tray and turn it to coat it lightly in oil on all sides.
Shape the dough
5. Gently stretch the dough out to fill the tray. It may spring back a bit; if it does, let it rest for a few minutes before stretching again. Aim to get an even thickness.
Second rise
6. Cover the tray with plastic wrap or a damp towel and let the dough rise again until puffy, about 30 minutes.
Add toppings and final touches
7. Preheat your oven to 425°F (220°C).
8. Once the dough has puffed up, use your fingers to dimple the surface of the dough all over, creating little wells. Drizzle with a little more olive oil and sprinkle coarse salt, rosemary and sliced garlic
Bake
9. Bake the focaccia in the preheated oven for about 20-25 minutes, or until golden brown on top and the edges are crispy.
Cool and serve
10. Remove the focaccia from the oven and let it cool on a wire rack for a few minutes before cutting into squares. wrap squares and place in the walk in","Makes one half sheet tray, scale recipe up if needed."
"Brioche","Breads & Doughs","500 g All Purpose Flour 4 cups
10 g Salt 2 tsp
50 g Sugar 1/4 cup
10 g Instant Yeast 3 tsp
150 mL Warm Water 2/3 cup
5 large Egg beaten
250 g Unsalted Butter softened, 1 cup + 1 tbsp
Egg 1 egg beaten with 1 tbsp water
Sesame Seeds","1. Mix dry ingredients: In a large mixing bowl or the bowl of a stand mixer, combine the flour, sugar, salt, and yeast. Give them a quick stir to distribute the yeast evenly through the flour.
2. Add wet ingredients: Pour the warm water and the beaten eggs into the bowl with the dry ingredients. Using a dough hook on a stand mixer, mix at a low speed until the dough starts to form.
3. Incorporate butter: Gradually add the softened butter to the dough, a few pieces at a time, ensuring each addition is well incorporated before adding the next. Knead the dough on medium speed for about 10 minutes until it becomes smooth, shiny, and elastic.
4. First rise: Transfer the dough to a lightly greased bowl, cover with a damp cloth or plastic wrap, and let it rise in a warm place until it doubles in size, about 1 to 2 hours.
5. Shape buns: After the dough has risen, turn it out onto a lightly floured surface. Divide the dough into 10 equal pieces, each weighing approximately 113g (4 oz). Roll each piece into a smooth ball and place them on a parchment-lined baking sheet. Flatten each ball gently.
6. Second rise: Cover the shaped buns with a damp cloth and allow them to rise again until they are puffy and nearly doubled in size, roughly 1 hour.
7. Apply egg wash: Preheat your oven to 375°F (190°C). Brush the risen buns gently with egg wash. sprinkle with sesame seeds
8. Bake: Bake the buns in the preheated oven for 15 to 20 minutes, until they are golden brown on top and sound hollow when tapped on the bottom.
9. Cooling: Remove the buns from the oven and let them cool on a wire rack before using them.","N/A"
"Chow Chow","Sauces & Condiments","2 cup Green Cabbage, chopped
1 medium Onion, finely chopped
1 Red Bell Pepper, finely chopped
1 Red Bell Pepper, finely chopped
1 Jalapeno jalapeño, seeded and minced, adjust based on your spice preference
1 cup Cider Vinegar apple
1/2 cup Water
1/2 cup Sugar
1 tsp Mustard Seed
1 tsp Celery Seed
1/2 tsp Turmeric Powder
1 tsp Salt
1/2 tsp Crushed Red Pepper flakes, optional for extra heat","1. Prepare the vegetables: In a large bowl, combine chopped cabbage, onion, green and red bell peppers, and jalapeño.
2. Make the brine: In a saucepan, combine apple cider vinegar, water, sugar, mustard seeds, celery seeds, turmeric, salt, and crushed red pepper flakes. Bring to a boil, stirring until the sugar dissolves.
3. Cook the vegetables: Add the chopped vegetables to the boiling brine. Reduce heat to medium and simmer for about 10 minutes or until the vegetables are just tender but still crisp.
4. Cool and serve: Remove from heat and allow the chow chow to cool slightly. It can be served warm or chilled. If you prefer to serve it chilled, let it cool completely and then refrigerate for an hour before serving.","N/A"
"Test Focaccia 'old'","Breads & Doughs","600 g Flour All-Purpose
468 g Water
6 g Instant Yeast
6 g Sugar
12 g Salt
18 g Extra Virgin Olive Oil for the dough + extra for drizzling and lining
1 Clove Garlic: thinly sliced
Rosemary Fresh A small amount, chopped
pinch Maldon Salt A small","1. Mix flour and water: In the bowl of your Hobart mixer, combine all-purpose flour and water. Stir gently until just combined without kneading.
2. Rest: Let the mixture rest for 30 minutes to allow the flour to fully hydrate and begin gluten development naturally.
3. Step 2 proof the yeast:
4. Prepare yeast mixture: While the flour and water are resting, mix the instant yeast, sugar, and a small portion of the warm water (taken from the total water amount) in a separate bowl. Wait for the mixture to become frothy, indicating that the yeast is active.
5. Step 3 mix the dough:
6. Add yeast mixture: After the autolysing period, add the frothy yeast mixture to the dough.
7. Add olive oil and salt: Include the olive oil and salt.
8. Mix: Start mixing on a low speed to incorporate all ingredients until the dough starts to come together.
9. Step 4 knead:
10. Kneading: Increase the speed to medium and knead the dough for 8-10 minutes until smooth and elastic.
11. Step 5 first proof:
12. Bulk fermentation: Transfer the dough to large, oiled Cambro containers. Cover and let it rise in a warm, draft-free area until doubled in size, about 1.5 to 2 hours.
13. Step 6 prepare for baking:
14. Oil and shape: Liberally oil two large sheet trays. Gently deflate the dough and divide it evenly between the trays.
15. Second proof: Allow the dough to rise uncovered for about 40 minutes until puffy.
16. Step 7 dimple and top:
17. Dimpling: Using your fingertips, make deep dimples evenly across the surface of the risen dough.
18. Add toppings: Drizzle with more olive oil, then sprinkle evenly with the sliced garlic, chopped rosemary, and Maldon salt.
19. Step 8 bake:
20. Preheat oven: Preheat your oven to 500°F (260°C) with the fan on.
21. Baking: Bake the focaccia for about 15 minutes, until the middle begins to brown and the crust is crisp.
22. Step 9 cooling and storage:
23. Cool: Remove the focaccia from the oven and let it cool on a wire rack for at least 10 minutes.
24. Cut and wrap: Once cooled, cut the focaccia into squares, wrap each square in plastic wrap, and label with a date sticker.
25. Store: Place the wrapped focaccia in the cooler above the freezer door.","N/A"
"Fried Chicken Special","Mains & Entrees","Chicken Salt
75 g Sechuan Peppercorns Szechuan pepper
600 g Chicken Stock powder
150 g Salt
150 g MSG
30 g Ground Black Pepper
30 g Cumin Seed
30 g Paprika
30 g Onion Powder
30 g Garlic Powder
6 g Dried Oregano
Marinade
240 g Dashi Powder
240 g Chicken salt
360 g Sriracha
360 g Water
Dry Dredge
3600 g Flour plain
1200 g Corn Flour
1200 g Tapioca Flour
150 g Baking Powder
150 g Onion Powder
150 g Garlic Powder
150 g MSG
Wet Dredge
480 g Buttermilk
180 g Water
360 g Egg, whites fresh
150 g Flour plain
60 g Corn Flour corn
120 g Sriracha
Chicken
24 pc Chicken bone-in, skin-on breasts, legs, drumsticks, and/or wings","1. Make chicken salt: Toast Szechuan pepper, black pepper, and cumin seeds until fragrant. Cool and grind to a fine powder. Mix with remaining chicken salt ingredients.
2. Marinate chicken: Mix dashi, chicken salt, sriracha, and water. Coat chicken pieces in marinade, cover, and refrigerate for 2 hours.
3. Prepare dredges: Mix all dry dredge ingredients in a large bowl. Mix buttermilk, water, egg whites, plain flour, cornflour, and sriracha in another bowl.
4. Dredge chicken: Add 600g of dry dredge to the marinated chicken, mixing well. Coat each piece of chicken in the remaining dry dredge, tossing 60 times. Dip chicken pieces in wet dredge, then back into the dry dredge, tossing another 60 times.
5. Fry chicken: Heat oil to 300°F. Fry chicken pieces for 12 minutes until crisp and golden and temped at 160. Rest on wired sheet trays.","Scaled for 24 Pieces"
"Banana Pudding","Desserts","Vanilla Pudding
2 cup Granulated Sugar
1 cup All Purpose Flour
8 large Egg, yolks
8 cup Milk whole
4 tsp Vanilla Extract
1/2 tsp Salt
8 tbsp Unsalted Butter cut into small pieces
Whipped Cream
4 cup Heavy Cream
1 cup Powdered Sugar
4 tsp Vanilla Extract
Assembly
1/4 Bananas 6-8 ripe sliced into inch rounds
2 box Nilla Wafers va wafer cookies, approx. 24 oz
Mint, leaves Fresh for garnish, optional","Prepare the Vanilla Pudding
1. In a large saucepan, whisk together the granulated sugar, flour, and salt.
2. In a separate bowl, whisk the egg yolks until smooth.
3. Gradually add the milk to the egg yolks, whisking constantly.
4. Pour the milk and egg mixture into the saucepan with the dry ingredients, whisking to combine.
5. Cook over medium heat, stirring constantly, until the mixture thickens and comes to a gentle boil (about 10-12 minutes).
6. Remove from heat and stir in the vanilla extract and butter until fully melted and incorporated.
7. Transfer the pudding to a large bowl, cover with plastic wrap (pressing the wrap directly onto the surface of the pudding to prevent a skin from forming), and refrigerate for at least 2 hours or until fully chilled.
Prepare the Whipped Cream
8. In a large mixing bowl, combine the heavy whipping cream, powdered sugar, and vanilla extract.
9. Beat with an electric mixer on medium-high speed until stiff peaks form. Set aside.
Assemble the Banana Puddings
10. Gather 12 beer chalice/goblet cups (10 oz each).
11. In each cup, start by placing a layer of vanilla wafer cookies at the bottom.
12. Add a layer of sliced bananas over the cookies.
13. Spoon a layer of chilled vanilla pudding over the bananas.
14. Add another layer of vanilla wafer cookies, followed by another layer of bananas.
15. Spoon another layer of vanilla pudding on top.
16. Top each cup with a generous dollop of whipped cream.
17. Garnish with a few vanilla wafer cookies and a fresh mint leaf, if desired.
Chill and Serve
18. Cover each cup with plastic wrap and refrigerate for at least 1 hour before serving to allow the flavors to meld together.
19. Serve chilled.","N/A"
"Paella","Mains & Entrees","6 oz Risotto Base
Garnish
1 ramekin Chorizo dry cured
1 ramekin Sofrito Base
6 oz Vegetable Stock
6 pc Squid braised
4 Mussels frozen
3 Shrimp grilled
1 pinch Preserved Lemon
1 pinch Saffron","1. In an egg pan, heat a small amount of garlic oil over medium heat.
2. Add the sofrito and chorizo, saute until fragrant and chorizo browned.
3. Add the 6 oz of prepared base risotto to the pan, stirring to combine.
4. Add a little stock to reach the desired consistency. Much less needed than in garden risotto.
5. Season with salt and pepper and smoked paprika.
6. Arrange seafood in a spiral manner in egg pan. DO NOT AGGITATE RICE!!! We're trying to crisp up the rice on the bottom, hence the low amount of stock going into the dish.
7. Place another saute pan on top and allow proteins to cook through.
8. Once slightly crispy on the bottom, carefully run a spatula around the edges and underneath the paella to ensure it's loosened from the pan. Slide into a flower bowl and garnish with lemon wedges, preserved lemons, and microgreens. The slide is similar to sliding an omelette out of the pan.","N/A"
"Risotto Base","Prep & Pantry","70 oz Arborio Rice 2 boxes
8 oz Chicken Base
1 qt White Wine
8 oz Shallot minced
4 oz Garlic minced
5 qt Water hot to use as broth
2 cup Heavy Cream","1. Prep: In a pan, sauté minced shallots and garlic in oil/butter until translucent.
2. Rice: Add Arborio rice to the pan and toast briefly. Add chicken base and toast. Pour in white wine and stir continuously until mostly evaporated.
3. Risotto: Gradually ladle in broth to the rice, stirring frequently after each addition until absorbed. Continue this process until the rice is al dente. Mix in heavy cream until desired consistency.
4. Cooling: For storage, spread the risotto on a sheet tray in a thin layer. Allow to cool to room temperature, then transfer to the refrigerator. This method ensures that the rice stops cooking and retains its texture.
5. Storing: After cooling, place risotto in an airtight container in the fridge. This mix is used for the Risotto entrée and the arancini.
6. Reheating: To serve, take the needed portion of risotto and place in a pan after your veggies have been sautéed. Add a bit of broth and gently heat, stirring constantly, until you achieve the desired temperature and creaminess.","N/A"
"Basil Oil","Sauces & Condiments","4 cup Basil, leaves fresh loosely packed
32 ounce Extra Virgin Olive Oil 1 quart","Blanch the basil
1. Start by blanching the basil leaves briefly. Bring a large pot of water to a boil, and prepare a bowl of ice water.
2. Submerge the basil leaves in the boiling water for about 10-15 seconds or until they turn bright green.
3. Quickly transfer the blanched basil to the ice water to stop the cooking process. This helps preserve the bright green color.
Dry the basil
4. Remove the blanched basil leaves from the ice water and gently pat them dry with a clean kitchen towel or paper towels.
Blend basil and olive oil
5. In a high-speed blender or food processor, combine the blanched basil leaves and extra virgin olive oil.
6. Blend until you have a smooth and vibrant green mixture. This may take a minute or two.
Strain the basil oil
7. Place a fine-mesh strainer or cheesecloth over a clean bowl or jug.
8. Pour the blended basil and olive oil mixture through the strainer to remove any solid pieces, leaving you with smooth basil oil.
Transfer to a container
9. Carefully pour the strained basil oil into a sterilized quart-sized glass bottle or container.","N/A"
"Basque Cheesecake","Desserts","2 pound Cream Cheese at room temperature
1 1/2 cup Granulated Sugar
6 large Egg
2 cup Heavy Cream
1 tsp Vanilla Extract
1/4 tsp Kosher Salt
1/4 cup All Purpose Flour
Garnishes:
1 heaping tbsp Cookie Crumble
1 heaping tbsp Berry Compote spoonful","1. Preheat your oven to 400°F. Line a 10-inch springform pan with parchment paper, letting the paper extend above the sides.
2. Beat the cream cheese until smooth. Gradually add the granulated sugar until light and fluffy. Add the eggs, one at a time, mixing well after each.
3. Pour in the heavy cream, vanilla extract, and kosher salt. Mix until smooth. Sift in the all-purpose flour and mix until just combined.
4. Pour the batter into the pan, tap to release air bubbles. Bake for 50-60 minutes until the top is deeply golden brown and the center is slightly jiggly.
5. Cool in the pan on a wire rack, then refrigerate for at least 4 hours or overnight.
6. Remove from the pan, peel off the parchment, and slice with a hot knife.","N/A"
"Cookie Crumble","Desserts","1 cup All Purpose Flour
1/2 cup Granulated Sugar
1/4 cup Light Brown Sugar packed
1/2 tsp Baking Powder
1/4 tsp Salt
1/2 cup Butter, melted
1 tsp Vanilla Extract
1/2 tsp Ground Cinnamon","1. Preheat your oven to 350°F. Line a baking sheet with parchment paper.
2. In a large mixing bowl, combine the all-purpose flour, granulated sugar, light brown sugar, baking powder, and salt. Add ground cinnamon or other spices if using.
3. Pour in the melted butter and vanilla extract. Mix with a fork or your hands until the mixture forms clumps and resembles coarse crumbs.
4. Spread the crumble mixture evenly on the prepared baking sheet.
5. Bake for 10-12 minutes, or until the crumble is golden brown and fragrant. Stir halfway through baking to ensure even browning.
6. Remove from the oven and let the crumble cool completely on the baking sheet. It will become crisp as it cools.
7. Once cooled, break the crumble into smaller pieces if needed.
8. Store the cookie crumble in an airtight container at room temperature for up to a week.","N/A"
"Berry Compote","Desserts","2 cup Berries mixed, such as strawberries, blueberries, raspberries, and blackberries
1/4 cup Granulated Sugar
1 tbsp Lemon, juice
1 tsp Lemon, zest
1 tsp Vanilla Extract","1. In a medium saucepan, combine the mixed berries, granulated sugar, lemon juice, and lemon zest.
2. Cook over medium heat, stirring occasionally, until the berries release their juices and the mixture begins to thicken, about 10-15 minutes. If the mixture becomes too thick, add a tablespoon of water to adjust the consistency.
3. Remove from heat and stir in the vanilla extract.
4. Allow the compote to cool to room temperature before serving. It can be served warm or chilled, depending on your preference.
5. Store any leftovers in an airtight container in reach in.","N/A"
"Chocolate Chip Cookie","Desserts","1 1/2 cup Unsalted Butter softened, 340g
1 1/2 cup Granulated Sugar 300g
1 1/2 cup Brown Sugar 300g
6 tsp Vanilla Extract 30ml
1 1/2 tsp Salt 9g
3 cup All Purpose Flour 360g
1 1/2 tsp Baking Soda 6g
1 1/2 cup Chocolate Chips or other mix-ins), 270g
6 small Egg, yolks","1. Preheat oven to 500°F.
2. Cream butter and sugars until light and fluffy.
3. Add egg yolks and vanilla extract, mixing until combined.
4. Whisk together flour, baking soda, and salt.
5. Gradually add dry ingredients to wet ingredients, mixing until just combined.
6. Fold in chocolate.
7. Divide dough into 70g portions and press into greased ramekins.
8. Cover and store in the walk-in.
9. Bake for 8-10 minutes, checking for golden brown edges and set centers.
10. Serve warm, with a quenelle of vanilla ice cream, sprinkle maldon salt, caramel drizzle.","N/A"
"Pickled Mustard Seeds","Sauces & Condiments","For the Brine
175 mL White Wine Vinegar about 3/4 cup
125 mL Cider Vinegar about 1/2 cup
150 mL Water about 2/3 cup
50 mL Rye Whiskey about 1/4 cup
2 Bay Leaf Dried leaves
150 g Brown Sugar about 3/4 cup
10 g Kosher Salt about 1 tablespoon
For the Seeds
200 g Yellow Mustard Seed about 1 cup","1. For the Brine: Combine white wine vinegar, cider vinegar, water, whiskey, bay leaves, brown sugar, and salt in a small saucepan. Set aside, stirring occasionally, until sugar is dissolved.
2. For the Seeds: Meanwhile, place seeds in a clean saucepan and cover with cold water. Bring to a boil, then drain through a fine-mesh strainer and discard the water. Repeat until the discarded water does not taste bitter. This can take between 1 and 8 repetitions.
3. Transfer blanched and drained mustard seeds to the pot with the brine. Bring to a boil, then reduce to a bare simmer and cook until the seeds have plumped up and the liquid has reduced by about one-third, 15 to 20 minutes. Without draining brine, transfer seeds to a sealable container, let cool at room temperature, then seal and refrigerate until ready to use. The seeds will mature in flavor over the course of a few days.","N/A"
"Salsa Dona","Sauces & Condiments","32 Jalapeno Jalapeños: stemmed
12 Clove Garlic: peeled
1 White Onion whole, chopped
1 cup Water for blending
1 cup Vegetable Oil Canola or","1. Boil vegetables: Boil jalapeños, garlic, and onion until soft (10-15 minutes). Drain, reserving 1 cup of cooking water.
2. Blend: Blend boiled vegetables with 1 cup of reserved cooking water until smooth.
3. Incorporate oil: Slowly add oil while blending until emulsified.
4. Season: Taste and adjust salt if needed.","N/A"
"Boar Sausage","Prep & Pantry","10 lb Ground Boar
3 oz Kosher Salt
10 Garlic, cloves grated, about 10 tsp
10 tbsp Fennel Seed whole toasted
10 tsp Marjoram Dried
5 tsp Ground Black Pepper freshly
5 tbsp Sugar
10 tbsp Crushed Red Pepper flakes
1 1/4 tsp Cayenne ground pepper","1. Combine all ingredients in a large bowl and mix thoroughly. Cover and refrigerate for 8-48 hours.
2. Using a stand mixer with paddle attachment, beat meat on medium-high speed until tacky and sticky, about 1 minute. Alternatively, knead by hand for 3-4 minutes.
3. Transfer to a zipper-lock bag and seal. Refrigerate for up to 1 week. Stuff into casings or cook as desired.","N/A"
"Caesar Dressing","Sauces & Condiments","1 1/2 cup Kalamata Olives
2 medium Shallot
1/2 cup Parmesan
2 tsp Garlic, minced
pinch HERBS
Salt And Pepper
6 Egg, yolks
1 cup Vinegar RED
2 cup Mayo
3 cup Olive Oil
1/4 cup Dijon Mustard","1. Blend olives in robo coup until paste forms.
2. Add shallots, parmesan, garlic, herbs, s+p and egg yolks. Blend.
3. Add vinegar, mayo. Blend.
4. Slowly drizzle 3 cups oil while blending.
5. Date and store.","N/A"
